pk_localizacao,pk_veiculos,pk_optante,pk_data,pk_juridica,pk_caract_empresas,cd_cnpj,nm_razao_social,qt_filial,vl_total_veiculos
4915,4813,4819,4916,4821,4840,08739568000130,PA ADMINISTRADORA DE BENS E PARTICIPACOES LTDA ME,0,0
4917,4813,4819,4918,4816,4847,04500550000120,O F DE OLIVEIRA ME,0,0
4919,4813,4832,4920,4816,4921,12810402000130,SILVANI PRATES DOS SANTOS ME,0,0
4922,4813,4819,4923,4924,4825,05410317000110,HYDROLAB ENGENHARIA E CONSULTORIA ME SS,0,0
4925,4813,4832,4926,4821,4850,12223579000130,WORK TAX SOLUCAO EMPRESARIAL LTDA ME,0,0
4927,4813,4819,4928,4816,4850,96617865000170,TOSHIO TATSUMI MARACAI ME,0,0
4929,4813,4819,4930,4899,4822,08047579000150,ILSA ALICE MULLER OLIVEIRA,1,0
4931,4813,4819,4932,4821,4837,12690066000130,CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME,0,0
4933,4813,4819,4934,4821,4878,94409778000100,O WEHRMANN E CIA LTDA M E ME,0,0
4935,4813,4819,4936,4937,4847,21081120000130,CARTORIO DO REGISTRO CIVIL DE NICOLANDIA,0,0
4938,4939,4832,4940,4941,4840,77687663000150,ARTECLASSE ESTOFADOS EIRELI,0,3
4942,4813,4814,4943,4816,4921,13103110000120,MARINETE SILVA PEREIRA MEI,0,0
4944,4813,4819,4945,4821,4844,84630474000450,L M L EXPORTACAO DE CAFE LTDA,0,0
4946,4813,4819,4947,4821,4878,37224847000160,AREEIRO COSME & DAMIAO LTDA ME,0,0
4948,4813,4814,4949,4816,4822,11971190000100,SILVANIRA PEREIRA NAZARE MEI,0,0
4950,4813,4819,4951,4821,4837,07244034000170,CABALA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA ME,0,0
4952,4813,4819,4953,4899,4817,12121605000110,NADIR RODOLFO DE JESUS TOLEDO E OUTRA,0,0
4954,4813,4814,4955,4816,4921,12708033000170,JORGE SOARES DE OLIVEIRA MEI,0,0
4956,4813,4819,4957,4905,4958,62955505281310,IGREJA DO EVANGELHO QUADRANGULAR,0,0
4959,4813,4819,4960,4892,4825,21614193000140,GARFIG REPRESENTACOES LTDA ME,0,0
4961,4813,4819,4962,4821,4878,05008116000190,BIG ESFIHA EXPRESS FREGUESIA DO O LTDA ME,0,0
4963,4813,4819,4964,4821,4847,07095151000110,SOCIEDADE EDUCACIONAL JEAN PIAGET LTDA ME,0,0
4965,4813,4814,4966,4816,4817,15493137000100,RICARDO PIRES LEAL MEI,0,0
4967,4813,4832,4968,4816,4850,09253073000160,RENATA FERREIRA DA SILVA VESTUARIO ME,0,0
4969,4813,4832,4970,4816,4837,05266699000150,VALDIVIA ROSA DOS SANTOS LIMA ME,0,0
4971,4813,4819,4972,4816,4825,12537293000120,GERALDO SIMIAO AZEVEDO ME,0,0
4973,4813,4819,4974,4821,4825,09437544000190,H D INFORMATICA LTDA ME,0,0
4975,4813,4819,4976,4816,4878,00326297000180,MARCI VICENTE PSCHEIDT ME,0,0
4977,4813,4832,4978,4816,4822,14644627000190,FRANCISCO ANTONIO CORREA DE APOIO ESCRITORIO ME,0,0
4979,4813,4819,4980,4816,4840,13629575000110,MARLENE ALVES DE FREITAS ME,0,0
4981,4813,4814,4982,4816,4822,15581916000150,CLAUDENIR MANOEL DE ARAUJO MEI,0,0
4983,4813,4819,4984,4821,4837,03471229000100,MOVEIS PORTUGUES LTDA ME,0,0
4985,4813,4832,4986,4821,4878,06230514000110,MERCADAO DE CARNES CACHOEIRINHA LTDA ME,0,0
4987,4813,4814,4988,4816,4850,14894610000190,JOSIAS ALVES DE CAMPOS MEI,0,0
4989,4813,4819,4990,4816,4822,05438357000170,IOLANDA CIRINO ME,0,0
4991,4813,4832,4992,4821,4840,13401477000120,LAGOA LOTERIAS LTDA ME,0,0
4993,4813,4832,4994,4816,4817,72833999000160,MICHEL GEORGES MICHAELIDES ME,0,0
4995,4813,4832,4996,4821,4850,12481765000170,GCR COMERCIO DE MERCADORIAS EM GERAL LTDA,0,0
4997,4813,4819,4998,4821,4850,11771732000100,ILHA COMERCIO DE ARTIGOS DE SURF LTDA ME,0,0
4999,4872,4832,5000,4821,4840,10441320000130,PORTAS PRONTAS BARRETO LTDA ME,0,2
5001,4813,4819,5002,4821,4840,10850466000130,SG PROJETOS LTDA,0,0
5003,4813,4832,5004,4816,4886,10480447000240,A R L DE SOUZA ROUPAS ME,0,0
5005,4813,4819,5006,4821,4850,15697292000130,PET CAO PRODUTOS VETERINARIOS LTDA ME,0,0
5007,4872,4832,5008,4816,4837,15217444000150,RICARDO FIDELIS MELO ME,0,2
5009,4813,4814,5008,4816,4822,15220854000150,JOAO BATISTA LIMA DA SILVA MEI,0,0
5010,4813,4819,5011,5012,4822,15740742000120,DIRETORIO DO PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO PMDB DO MUNICIPIO DE NOSSA SENHORA DE LOURDES,0,0
5013,4813,4819,5014,4899,4844,08216974000380,ALCIDES DOS SANTOS MOREIRA E OUTRA,0,0
5015,4813,4819,5016,4821,4878,01995195000110,BESTWAY LOCACOES E SERVICOS LTDA ME,0,0
5017,4813,4819,5018,4816,4837,03391792000160,GEDEAO LOURENCO DE SOUZA ME,0,0
5019,4813,4819,5020,4899,4844,08457794000390,ARY ANTONIO MADUREIRA,0,0
5021,4813,4832,4820,4821,4817,14222846000180,ACADEMIA C 4 FITNESS LTDA ME,0,0
5022,4813,4819,5023,4816,5024,07669934000160,M A NOGUEIRA REPRESENTACOES COMERCIAIS ME,0,0
5025,4813,4819,5026,4821,4850,06137179000100,ESPACO CONHECIMENTO CONSULTORIA EPP LTDA,0,0
5027,4813,4819,5028,5029,4840,01387360000150,CONDOMINIO EDIFICIO ANDRAUS GOLDEN,0,0
5030,4813,4819,5031,5012,4822,09545298000190,PARTIDO DA REPUBLICA PR DE RIACHO DE SANTANA,0,0
5032,4813,4819,5033,4821,4958,40484867000850,JCE CONSULTORIA E PARTICIPACOES LTDA,0,0
5034,4813,4832,5035,4816,4840,48346043000150,SEBASTIAO MIGUEL DE CAMPOS ME,0,0
5036,4813,4832,5037,4821,4840,13567044000140,BUT COMERCIO DE ALIMENTOS LTDA,0,0
5038,4813,4819,5039,4816,5024,13598884000170,EDEGAR PEREIRA MEI,0,0
5040,4813,4819,5041,4821,4847,04056122000150,ALZENIR SANTANA COMERCIO LTDA ME,0,0
5042,4813,4819,5043,4821,4822,04841694000140,CARRO FACIL VEICULOS LTDA,0,0
5044,4813,4819,5045,5029,4840,66508078000120,CONDOMINIO EDIFICIO ELIANA,0,0
5046,4831,4832,5047,4816,4840,11726294000150,JAILSON BEZERRA PEREIRA ME,0,1
5048,4813,4814,5049,4816,4921,11959342000150,MARIZA CRISTIANE ALTHAUS MEI,0,0
5050,4813,4819,5051,4821,4837,34481390000180,OLIVEIRA & GARCIA LTDA ME,0,0
5052,4813,4814,5053,4816,4817,12555119000100,MARGARETE PEREIRA ARCENIO MEI,0,0
5054,4813,4832,5055,4821,4837,07907566000140,QUANTTO AGENCIA DE MARKETING LTDA ME,0,0
5056,4831,4819,5057,4816,4878,01682355000170,ELITON ALVES ME,0,1
5058,4831,4819,5059,4816,4837,08455770000130,DILSON FERREIRA DOS SANTOS BRITAMENTO DE PEDRAS ME,0,1
5060,4813,4819,5061,4821,4847,74034307000140,ELETRO FRIO ESTRELA DA LIBERDADE LTDA ME,0,0
5062,4813,4814,5063,4816,4822,14672094000150,SEBASTIANA APARECIDA MEI,0,0
5064,4813,4832,5065,4816,4908,02521644000150,ADRIANA RESENDE LOPES ME,0,0
5066,4813,4832,5067,4816,4837,14133477000150,ORLANDO PINHO GUIMARAES ME,0,0
5068,4813,4819,5069,4816,4850,06021074000190,MARCIA R LIMA AUTOMOVEIS ME,0,0
5070,4813,4819,5071,4816,4837,07784989000110,FARLEY SILVA LEITE ME,0,0
5072,4813,4814,5073,4816,4822,14550570000160,WELLINGTON ALVES DE LIMA MEI,0,0
5074,4813,4832,5075,4816,4822,14570622000160,S A R BANSI ME,0,0
5076,4813,4819,5077,4853,4886,01052752000240,ASAS DE SOCORRO,0,0
5078,4813,4832,5079,4816,4840,09353200000100,B P GONSIORKIEWICZ ME,0,0
5080,4813,4819,5081,4816,4921,09102759000150,I DE L MOREIRA DE MORAES CALCADOS ME,0,0
5082,4813,4819,5083,4821,4840,09310725000150,CLINICA ODONTOLOGICA ODONTOSAUDE LTDA ME,0,0
5084,4813,4819,5085,4899,4822,08374337000170,SALUSTIANO JOAQUIM TONCHIS,1,0
5086,4831,4832,5087,4941,4840,08225677000130,RAFAELA DE O G ELIAS CALHAS EIRELI ME,0,1
5088,4813,4832,5089,4941,4844,13865327000410,HOKKAI COMERCIO E SERVICOS DE ALIMENTACAO EIRELI EPP,0,0
5090,4813,4814,5091,4816,4817,15296818000170,PALOMA VEBER SOETHE MEI,0,0
5092,4813,4819,5093,4899,4822,08402134000140,MARIA EMILIA APARECIDA VIANA,0,0
5094,4813,4832,5095,4821,4840,59121624000100,COMERCIAL T PAULISTA EPP LTDA,0,0
5096,4831,4819,5097,4816,4850,92112333000120,C A S GONCALVES ME,0,1
5098,4813,4819,5099,5100,4825,08661339000140,FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO TERTIUS DINAMICO,0,0
5101,4831,4814,5102,4816,4822,14577061000120,MARCIO LUIZ BATISTA MEI,0,1
5103,4813,4819,5104,4821,4840,14797432000180,OMEGA GESTORA DE RECURSOS LTDA,0,0
5105,4813,4819,5106,5107,4825,16700845000120,ELEICAO 2012 WILSON MARINHO DE CARVALHO VEREADOR,0,0
5108,4813,4814,5102,4816,4921,14581505000100,ELMA VIVIANE PAIVA AMORIM MEI,0,0
5109,4813,4819,5110,4821,4921,15309170000120,MARESIA PESCADOS LTDA ME,0,0
5111,4813,4819,5112,4816,5024,14384803000100,MARIA NATIVIDADE DE MELO VESELICH MEI,0,0
5113,4813,4832,5114,4821,4886,07104105000210,CENTRO DE FORMACAO DE CONDUTORES SOLUCAO LTDA ME,0,0
5115,4813,4814,5116,4816,4817,15797920000150,FABIANA SOUSA PONTES DO AMARAL MEI,0,0
5117,4831,4832,5118,4816,4840,16294894000100,CASSILANDRO RIBEIRO FREIRE ME,0,1
5119,4813,4819,5120,4821,4844,53112561000300,XEQ MAQ COMERCIO DE MAQUINA PARA ESCRITORIO LTDA ME,0,0
5121,4813,4814,5122,4816,4822,12220507000130,LUCIANA FERNANDES DA CRUZ MEI,0,0
5123,4813,4819,5124,4821,4878,04904391000120,DIPIU COMERCIO DE MOVEIS PARA ESCRITORIO E RESIDENCIA EPP LTDA,0,0
5125,4872,4819,5126,4821,4837,03901079000110,AUTO PECAS SANTO ANTONIO LTDA ME,2,2
5127,4813,4814,5128,4816,4822,13876515000100,ALVA FLOR MAGNO TAVARES MEI,0,0
5129,4813,4819,5130,4853,4850,00516281000130,ASSOCIACAO NOVA UNIAO DOS PEQUENOS HORTIFRUTICULTORES DO SETOR INDUSTRIAL,0,0
5131,4831,4819,5132,4821,4837,14823970000100,PLANOS DE ASSISTENCIA FUNEBRES E FAMILIARES PRIMICIAS LTDA,0,1
5133,4813,4819,5134,4821,4840,17001237000190,SPE CONSTRUTORA SA CAVALCANTE LXX LTDA,0,0
5135,4813,4819,5136,4821,4837,14045278000190,ELLEN PINHEIRO & CARVALHO SALAO DE BELEZA E BOUTIQUE LTDA ME,0,0
5137,4813,4819,5138,4816,5139,11769325000150,A P RIBEIRO NUTRICIONISTA ME,0,0
5140,4813,4814,5141,4816,4825,13649275000100,ROBERTO SOUSA SILVA MEI,0,0
5142,4813,4814,5143,4816,4822,15375030000150,GERIVALDO RIBEIRO GOMES MEI,0,0
5144,4813,4814,5145,4816,4822,14830545000130,MARIA ILDA BARROS DA SILVA MEI,0,0
5146,4813,4814,5147,4816,4822,15351613000140,LELIO ALMEIDA PINTO BAR E RESTAURANTE ME,0,0
5148,4813,4832,5149,4821,4837,15359272000150,ELABORAR PROJETOS E MARKETING LTDA ME,0,0
5150,4939,4819,5151,4821,5152,09719436000100,ARTEFIL ARARIPINA TECIDOS E FIBRAS LTDA,1,3
5153,4813,4814,5154,4816,4822,13850287000190,LEANDRO ANTUNES DOS SANTOS MEI,0,0
5155,4813,4819,5156,4816,4822,14023390000120,JURACEMA DE SOUZA LEAO CHAVES ME,0,0
5157,4813,4819,4842,4821,4844,00849004000300,DISTRIBUIDORA NUNES GAS EPP LTDA,0,0
5158,4813,4819,5159,5107,4825,15971961000110,ELEICAO 2012 EDMELIA DO NASCIMENTO CARVALHO VEREADOR,0,0
5160,4813,4819,5161,4853,4837,13658549000110,ASPROMES ASSOCIACAO DOS PROPRIETARIOS DE MOTOS DO ESPIRITO SANTO,0,0
5162,4813,4814,5163,4816,4822,14312252000160,JOSE ANDRE DOS SANTOS MEI,0,0
5164,4813,4819,5165,4816,5139,37564887000150,JOAO ASSIS DE ALENCAR ME,0,0
5166,4813,4819,5167,4821,4837,10500306000160,COMUNICARE CLINICA E CONSULTORIA EM FONOAUDIOLOGIA LTDA ME,2,0
5168,4813,4819,5169,4892,4844,03583686000260,MSU CONSULTORIA E ADMINISTRACAO LTDA ME SC,0,0
5170,4813,4819,5171,4821,4825,03619841000170,ESQUADRO ESQUADRIAS DE ALUMINIO LTDA ME,0,0
5172,4813,4819,5173,5174,5175,01243305000430,DIPLOMATA SA INDUSTRIAL E COMERCIAL,0,0
5176,4813,4819,5177,4816,4825,01786092000140,ALTAMIRO VIEIRA PARAISO ME,0,0
5178,4813,4819,5179,4816,4825,03937322000150,D M LUCAS AGUIAR ME,0,0
5180,4813,4819,5181,4892,5139,00799074000130,SIQUEIRA ASSESSORIA EMPRESARIAL LTDA ME,0,0
5182,4813,4814,5183,4816,4921,16849377000150,LIGIA DA PELONIA BRANCO CABRAL DE MELO MEI,0,0
5184,4813,4819,5185,4821,4864,03734601013790,GRAFITTE MOVEIS LTDA,0,0
5186,4813,4832,5187,4821,4840,14814432000140,NASCIMENTO & ARAUJO FRIGORIFICO LTDA ME,0,0
5188,4813,4814,5189,4816,4822,13871224000110,EDILSON FRANCISCO CARDOSO MEI,0,0
5190,4813,4819,5191,4821,4908,94064649000110,MADEIREIRA CARONSERRA LTDA ME,1,0
5192,4813,4819,5193,4821,4837,08360628000100,GRAU PROJETOS EDIFICACOES E EMPREENDIMENTOS LTDA ME,0,0
5194,4813,4819,5195,4816,4822,15156438000130,WRIAS TEODORO DA SILVA ME,0,0
5196,4813,4819,5197,4816,4850,15160571000160,J L MELLO JUNIOR PROJETOS,0,0
5198,4813,4819,5199,4821,4844,10357393000220,MARES PISCINAS LTDA ME,0,0
5200,4813,4819,5201,4821,4850,08925731000150,FENIX INTERMEDIACAO DE CREDITO LTDA,1,0
5202,4813,4819,5159,5107,4825,16053467000130,ELEICAO 2012 MARIA APARECIDA BATISTA MATOS DE OLIVEIRA VEREADOR,0,0
5203,4813,4814,5204,4816,4840,14737392000180,JOSELITA DIAS RIBEIRO SIMON MEI,0,0
5205,4813,4819,5206,4816,4825,04569277000190,SANDRA APARECIDA FRANCISCO DA SILVA ME,0,0
5207,4813,4832,5208,4816,4886,07921293000270,ANA VALNEIDE ARAUJO,0,0
5209,4813,4832,5210,4816,4817,10944008000160,PRISCILA BULGARO DE CARVALHO ME,0,0
5211,4813,4819,5212,4821,5024,05582594000100,JOSINILDO RODRIGUES CONSULTORIA IMOBILIARIA LTDA ME,0,0
5213,4813,4819,5214,4821,4817,01051495000140,ADAVANTEL REPRESENTACOES COMERCIAIS LTDA ME,0,0
5215,4813,4819,5216,4821,4837,57269763000150,IRN ASSESSORIA EMPRESARIAL JURIDICA E COBRANCAS LTDA ME,0,0
5217,4831,4832,5218,4821,4837,14452737000150,JRM COMERCIO DE ARTIGOS DO VESTUARIO LTDA ME,0,1
5219,4813,4819,5220,4821,4837,13335552000100,HERIKCA E SIMIONE COMERCIO LTDA ME,0,0
5221,4813,4814,5128,4816,4822,13878559000160,CLEBIA PAULA DE BRITO GODOI MEI,0,0
5222,4813,4814,5223,4816,4822,13941989000180,JULIO RIBEIRO DE BARROS MEI,0,0
5224,4813,4814,5225,4816,4817,15182288000130,MADALENA APARECIDA DE SOUZA CASTRO MEI,0,0
5226,4813,4814,5227,4816,4817,15553446000110,VANDA AUGUSTA PEREIRA MEI,0,0
5228,4813,4814,5229,4816,4921,12164098000100,ANTONIO ALTENOR MARQUES MEI,0,0
5230,4813,4819,5231,4816,4837,07081651000100,JOSE DA SILVA ME,0,0
5232,4813,4819,5233,4821,4837,17283441000140,CPA PARTICIPACOES SOCIETARIAS LTDA,1,0
5234,4813,4819,5235,5029,4840,07806565000100,CONDOMINIO EDIFICIO GRANVILLE,0,0
5236,4813,4819,5237,4853,4837,11050679000140,ASSOCIACAO DE TRANSPORTE COMPLEMENTAR DE PLANALTO,0,0
5238,4813,4814,5239,4816,4921,13169734000140,SERGIO DOS SANTOS BORGES MEI,0,0
5240,4813,4814,5241,4816,4822,15190246000140,WILTER JOHNY BELMONT MEI,0,0
5242,4813,4814,5243,4816,5244,16480744000190,ADILSON DE LIMA ROCHA MEI,0,0
5245,4813,4814,5246,4816,4817,14465596000100,CELIA EISERMANN MEI,0,0
5247,4813,4819,5248,4816,4878,09331590000100,ARI GONCALVES SOARES ME,0,0
5249,4813,4819,5250,4821,4837,11306905000100,CAPANEMA PNEUS LTDA ME,0,0
5251,4831,4832,5006,4816,4834,15676707000190,WESLEI KUHNEN ME,0,1
5252,4813,4819,5253,4816,4850,02300267000120,JOSE RIBEIRO PIAU ME,0,0
5254,4831,4819,5255,4816,5024,81620106000190,CLEA LEALTINA DE BITTENCOURT REINERT ME,0,1
5256,4813,4819,5257,4821,4878,68035252000190,PROJECTO AUTOMACAO E COMERCIO DE MAT ELETRICO LTDA ME,0,0
5258,4813,4819,5259,4899,4822,14753183000120,LUIS HENRIQUE RAMOS,0,0
5260,4813,4819,5261,4821,4837,11185206000150,PROMED DISTRIBUIDORA DE MEDICAMENTOS HOSPITALARES LTDA ME,0,0
5262,4813,4819,5263,4816,4822,95035473000130,ALEXANDRE FERRAZ DUARTE ME,0,0
5264,4813,4819,5265,4816,5152,66351065000190,JORGE REINALDO MARQUES ME,0,0
5266,4813,4819,5267,4821,4847,48792485000120,ESTUDIO FOTOLITECNICA LTDA,0,0
5268,4813,4819,5269,4821,4822,04617529000100,LAFALCE ASSOCIADOS E PARTICIPACOES LTDA ME SC,0,0
5270,4813,4814,5271,4816,4840,07037992000170,CLOVIS DOMINGUES SOLDAS ME,0,0
5272,4813,4814,5273,4816,4822,12783179000180,WAGNER DE OLIVEIRA MEI,0,0
5274,4813,4819,5275,4816,4847,04355056000110,FRANCINILDE RODRIGUES DE PAIVA ME,0,0
5276,4813,4832,5277,4892,4840,55492623000110,PRESEDE PRESTACAO DE SERVICOS DE DESENHOS LTDA ME,0,0
5278,4813,4832,5279,4821,5139,11117576000150,C & S PANIFICADORA LTDA ME,0,0
5280,4813,4819,5281,4816,4850,11694319000180,ANDERSON JUN MAKITA ME,0,0
5282,4813,4819,5283,5012,4822,09568108000150,PRP PARTIDO REPUBLICANO PROGRESSISTA,0,0
5284,4813,4819,5285,4892,4850,00245285000120,SIOUX SERVICE INFORMATICA LTDA ME SC,0,0
5286,4813,4819,5287,4853,4840,00739428000150,ASSOCIACAO MISSIONARIA EBENEZER,0,0
5288,4813,4819,5289,4821,4847,05953866000130,CACAU LANCHONETE E PIZZARIA LTDA ME,0,0
5290,4813,4832,5291,4892,4817,16962677000140,MZT CONSULTORIA IMOBILIARIA LTDA SS,0,0
5292,4813,4832,5293,4821,4837,12563448000100,BELA VISTA CONSULTORIA E ASSESSORIA LTDA ME,0,0
5294,4813,4819,5295,4924,4850,16932888000130,CLINICA RICARDO BORGES SS,0,0
5296,4813,4819,5297,4853,4822,97526837000100,ASSOCIACAO DO CLUBE DE FUTEBOL DOS VETERANOS DE CAPAO NOVO,0,0
5298,4813,4819,5299,4821,4886,02484960000280,PLASFORRO PERFIS DE PVC LTDA,0,0
5300,4813,4832,5301,4816,4822,06084773000180,DIMAS PEREIRA DE SOUZA JUNIOR ME,0,0
5302,4813,4819,5303,5107,4825,16618671000150,ELEICAO 2012 JANEIDE DA SILVA VEREADOR,0,0
5304,4813,4832,5305,4816,4825,03477630000140,R F DO COUTO COMERCIAL ME,0,0
5306,4813,4819,5307,4816,4837,02937277000170,MARIA NANCI LAMEIRA ME,0,0
5308,4813,4819,5309,4821,4837,06042798000110,ARGIREIA COMERCIO E EXTRACAO DE AREIA LTDA ME,0,0
5310,4813,4819,5311,5012,4822,06658925000100,PARTIDO DOS TRABALHADORES PT,0,0
5312,5313,4832,5314,4941,4850,02718174000110,S & S COMERCIAL EIRELI EPP,0,3
5315,5316,4832,5317,4821,4850,07028901000130,FLYING TRANSPORTES E TURISMO LTDA ME,0,4
5318,4813,4819,5319,4821,4837,11497569000120,AGUIAR LUDOVINO & LEONCINI CURSOS EDUCACIONAIS TELEPRESENCIAIS LTDA,1,0
5320,4813,4819,5321,4853,4878,54796362000160,CLUBE DAS MAES DE VILA ALEXANDRINA,0,0
5322,5323,4832,5324,4816,4817,08679162000100,JOAO JOSE DA CRUZ TRANSPORTE ME,0,2
5325,4813,4819,5326,4821,4850,64807035000110,FARMANIMAL FARMACIA DE MANIPULACAO VETERINARIA LTDA ME,0,0
5327,4813,4814,5328,4816,4840,15317884000180,JEANINE FERNANDA GOVEIA MEI,0,0
5329,4813,4814,5330,4816,4817,16941941000160,CLAYTON ROBERTO SANTIAGO MEI,0,0
5331,4813,4819,5332,4941,5333,05277788000100,SECULO VERDE ALPHAVILLE PAISAGISMO E JARDINAGEM EIRELI,0,0
5334,4813,4819,5335,4821,4825,54093471000110,GASPAROTO & DARROZ LTDA ME,0,0
5336,4813,4819,5337,4816,4825,16774603000180,MARILENE LUIZA PECLA MEI,0,0
5338,4813,4819,5339,4816,4822,04251424000180,GERALDO DUTRA DE ABREU ME,0,0
5340,5313,4832,5341,4821,4840,87120762000100,FARACO & CIA LTDA ME,0,3
5342,4813,4819,5343,4816,4847,04724398000160,LUCIA VANDA DE SOUSA ME,0,0
5344,4813,4814,5345,4816,4837,12842235000100,JOAO IRIS TELES NUNES ME,0,0
5346,4813,4819,5347,4853,4886,06932990000930,DIOCESE DE ZE DOCA,0,0
5348,4813,4819,5349,4853,4840,08293513000140,ASSOCIACAO DE PAIS AMIGOS DO BASQUETEBOL DE REALEZA,0,0
5350,4813,4819,5351,4853,4850,01475296000160,APP EIM RIO DOS BANHADOS,0,0
5352,4813,4819,4926,4821,4822,12077443000160,NARITA E JANSON IMOVEIS LTDA ME,0,0
5353,4813,4814,5354,4816,4817,13388322000100,LUCIANE COSMO BATISTA MEI,0,0
5355,4813,4832,5356,4816,4850,10806211000170,M L GISMENES PECAS ME,0,0
5357,4813,4819,5358,4821,4850,14239440000100,ARAUJO PELAGIO INCORPORACAO E EMPREENDIMENTOS IMOBILIARIOS ADMINISTRACAO E PARTICIPACOES LTDA,0,0
5359,5360,4819,5361,4821,4886,19791896009310,SUPERGASBRAS ENERGIA LTDA,0,1
5362,4813,4819,5363,4853,4878,12121224000130,CLUBE DE MAES DOS BAIRROS SAO RAIMUNDO E GAMBARRINHA,0,0
5364,4813,4814,5365,4816,4850,08508919000100,MARIA LUCIA AMORIM DAS MERCES ME,0,0
5366,4813,4819,5367,4816,4822,45064714000100,A M BRANCO ME,0,0
5368,4813,4819,5369,4816,4822,05796462000180,DIEGO DE PINHO FARIAS ME,0,0
5370,4813,4819,5371,4821,4837,04522679000130,RITMO REPRESENTACOES LTDA ME,0,0
